"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
1,157,16,5,3,2,4,143,-4,5,3,2,2,1,3,3,0,180000,-4,0,1,4120,0,11
5,158,16,5,3,2,7,165,-4,5,3,2,1,1,2,2,1,80000,-4,0,0,2080,0,14
-4,159,16,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,160,8,5,3,2,4,185,-4,5,7,3,2,1,2,2,1,85000,-4,0,0,2080,0,13
5,161,7,5,3,2,4,280,-4,5,8,2,2,1,2,3,2,61000,-4,1,0,2080,0,13
-4,162,17,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,163,18,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,164,12,5,3,2,4,130,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,165,12,5,3,2,4,125,-4,5,6,2,2,3,1,1,2,60000,-4,0,0,2600,0,9
1,166,12,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,167,12,5,3,2,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,168,10,3,2,1,-5,185,-4,5,10,1,1,4,5,5,7,14000,-4,0,0,1015,23,7
4,169,10,7,2,2,4,170,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,170,8,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,171,12,1,3,1,4,182,-4,5,9,2,2,3,1,1,0,121500,-4,0,0,2360,0,8
5,172,-2,6,3,2,4,294,-4,5,3,2,1,1,3,2,2,0,-4,0,0,0,0,0
